Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,0.2662319620336427,0.790093948230776,-0.9485030956983092,-0.6835322679353208,-1.1102222998455364,-1.8582271372423849,-1.7373187838293356,-2.0202203546551374,-2.416837430673948,-3.462369296944013,-4.682430487524613,-6.1127283560795185,-6.714649871293179,-8.452596133716641,-9.478022276628785,-12.4556559297761,-14.680369632576204,-18.15163818356739
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,2.1829794705537093,1.729149283316436,1.1610607134323068,0.7858517140714919,0.5945738152232518,0.30465383256012774,-0.4297126304613037,-0.26299950045577464,-1.64600817293272,-2.267108593366853,-3.258630407611308,-5.718328044707295,-6.085180496198158,-6.7712530763211625,-8.430393427475813,-10.316657785945848,-13.796097995822103,-18.372108790457997
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-0.0012767217278049966,0.006661594207570552,0.1769164201437778,0.05043258624012739,-0.19620647969647126,-0.180153440804934,-0.03329459600048637,-0.38648350249190344,-0.4203536504828392,-0.42921810327734183,-0.48802779383191564,-0.815725885819738,-3.2340897337767025,-2.790756839663576,-3.234464598695873,-5.165592255241564,-4.932834216753074,-5.575110128557751
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,0.23091253027149086,0.17907554875904455,0.11422744338418678,0.3753007277749342,-0.5731002194081457,-0.19928461293688562,-0.19938836990548542,-0.7545296547017079,-1.42836891157607,-0.7297109878126423,-1.4696641850787795,-2.0908364046918972,-2.992712727154839,-4.347405211980908,-4.604753621198923,-6.1395267007267575,-9.531850413399457,-10.371265040765335
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,0.8526846761074427,0.8079263318386678,0.41785964724561164,0.5074802316612227,0.398950597438469,0.07807856763418755,-0.08129770931172871,-0.3127153881052971,0.3893713974812243,-1.827351056833032,-2.30899156834925,-2.6807414096401128,-3.8300480023411687,-2.9497901754674563,-3.9028790128620865,-6.987921657660821,-8.363565420718253,-9.892227032984252
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,2.210076137418272,2.16389751912965,1.8117494776333696,1.2399463443790624,1.38650934187713,0.47707917795558175,-0.05319927588450382,0.040384580241031566,-0.7078713827395647,-1.3136951699361927,-3.3284538550505527,-4.579822256581131,-5.125325223638246,-6.524627550397335,-8.817089293540342,-9.756517520826726,-12.858187395386755,-17.474840643223427
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.12429970548112669,-0.16245854904173052,-0.1771069424526437,-0.20419098102508734,-0.36260162819839153,-0.4036591719656866,-0.6603269051528274,-0.4378129411949079,-0.5695599719631511,-0.76243417312059,-1.5882428835314428,-1.8014633048419555,-3.207189076451014,-3.3823502278721453,-2.9461622292125895,-3.8137586903130343,-5.06712568121085,-5.2057986139996615
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,1.3992035051720215,1.4157501602116536,0.9854209307609968,0.78580366466139,1.356628404002631,0.9538962993547314,0.8697105439037942,0.843472940617636,1.00008517139303,0.6305974347706836,0.10446260784687596,0.4090070474070711,0.3701967750528778,0.1696150620654274,0.10751862629871814,-0.22548280637387794,-0.5921120618587601,-0.7844669266944833
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,0.41128301585086097,0.16570833440785987,0.02637819365518089,0.4879165235798905,-0.27336112826330056,-0.2789976482272493,-0.5064659744435931,-0.09403485954725904,-0.6878769834202731,-0.41218938710138137,-1.6559106809273523,-2.4345804714264263,-3.564818543101525,-4.259982904271686,-5.757463415378721,-7.24459743778481,-9.605758814463625,-13.483723155961505
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-0.4624959162237166,-0.49945178112965755,-1.1772003754928768,-1.7547996389293063,-1.4762842256089337,-2.181280240981423,-1.8331758356425771,-2.7812195550632945,-3.9014109922649456,-3.3521398342861377,-4.713571929409264,-6.2830623550479086,-7.331680592719357,-7.75695649735364,-8.039032854512024,-11.531698694754896,-14.323779838111172,-16.779449227537
