Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,1.3981465102605652,1.3855247742173051,0.9837785123844419,1.0637475713450981,1.3030210925505397,0.8265719642038349,-0.40229190253176655,2.7144206086987452,3.60374778779028
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,0.9272514678209602,0.9806637362897324,0.7184683421326449,0.5795929622188911,1.598752317595737,1.3494312300007931,0.5056113993577283,2.2778349936150217,3.5729432281849167
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-0.44419064916656403,0.1836309123724496,0.4193437684591077,-0.28187413916573234,-0.67980427630403,-3.2383345277143682,-4.307504404382664,-7.063312832225884,3.0211268162784433
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-0.034943950371706056,0.07355471169307598,0.15243075922262297,0.7373399183101201,0.4865385738107502,0.3063023436560855,1.9887215895013954,-2.32663449153174,8.85826296655513
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,1.1428139155934083,1.1352710748461634,0.8880300538238708,1.129463295262541,0.8369028922299429,0.32411439647097,-0.49417992872702937,1.0020661695838693,10.537338949584356
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,2.3542219728652944,2.109944297527592,2.639050247387693,2.684741825561552,2.947292524464244,3.0698462481567823,3.894278892790836,4.814802748215315,8.692462814513267
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.6861718047056169,-0.7026789066460115,-0.2200674497144079,-0.13385877791845974,-0.7199825979561838,-2.5527909091785888,-4.291247635047317,-6.95533014485655,3.012636041479932
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,0.018324718936206876,-0.10381144055927982,-0.3085879165167493,-0.3946677062173073,-0.13456916239207908,-1.4478437077426551,-3.281919572528843,-0.38050311879222903,5.353389265963206
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,1.7160698264780374,1.4970369770570553,1.8422738248489179,2.4666631844854554,1.7907923223014814,1.8599169044621,4.282076236915156,6.195858144606099,11.198404734664567
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,0.4545534188954936,0.20163782570411662,0.9593659273146373,0.7390568870280465,2.0281894209425704,0.8549381489406829,2.201284952133124,4.576319337187243,5.660325561507598
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,-0.1661945610080544,0.24052319150211823,0.3623557398736469,0.4371802304346888,0.1242215628527226,0.4993340598078495,3.093868510184336,3.4935226784710616,9.742662313437188
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,-0.6962599621115702,-0.04237349332114309,-0.5958632161043715,0.3416399567471543,-1.2943619501232835,-1.4172125514772693,-3.578888537714009,-6.734038198799748,4.348668317931685
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,1.475651038680662,2.2480987665378867,1.3166529162118128,2.325409871043443,2.319103407530825,1.902668910307462,3.086502004475278,5.1889403160400205,12.255288130774208
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,-0.18996506073110855,0.012689222210329955,-0.1862205094121536,-0.4047917430854175,-0.08954015794866119,-1.8202425721554691,-1.8833575583142341,-5.642501153857571,8.346454160423853
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,0.7266211419037837,0.8575326271922885,1.2693923657082906,0.9590363042704654,-0.1859771767489126,0.021854476233322314,-1.335073583277945,-8.922997241236382,7.026242122535596
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,0.6519886423050674,0.764288645905116,0.9978452058927395,1.5653222782733685,1.746349378464796,1.7603078770630978,2.0676295945850836,4.094365670169657,5.420585555103245
