Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,-5.730539841294319,-1.3374527394472029,11.332755707518679,17.81587084093085,22.14601990399374,25.449749371551388,27.786654191050875,29.59703657147476,31.083540788107346
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,-0.5927045972360331,-0.009921767978500542,12.86670194915009,19.453650332982935,24.126116095360175,27.362540226631154,29.783779734044067,31.7484101224149,33.21677839982078
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,4.898074608916239,22.756570361091573,40.843330306400695,50.50990321018099,56.65080823620593,60.71361274962198,63.90458787042411,66.39252020673135,68.47328863770954
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-3.342625134422169,16.827683640233612,33.13430484529129,41.92370892444538,47.570045635652775,51.69043888298326,54.680866634402,56.70287036463931,58.588647824186225
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,2.3491179440166126,16.729708706083184,33.006703461931586,41.75747448428506,47.31686611438815,51.55102070988704,54.61050471778945,56.957474414259615,58.78153532743672
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,-0.7001893794734386,3.182203065164545,16.6870654602445,23.704137905655955,28.528435644275124,31.882641275484808,34.358227583226544,36.4005214403036,38.03948360946674
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.3165518219696863,23.187191298103667,41.03119596291706,50.9691585076497,56.81373732095678,61.20314760592353,64.44492057176389,66.97252989443069,68.98397958465902
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,-6.374253818210447,28.94607838147548,48.300277000749425,58.078904449893386,64.50231137933628,69.18519581074312,72.65407911690886,75.34716287950998,77.49154786712992
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,2.338875031638316,10.382229374968228,24.61965835036859,32.59865793452222,37.464747040780175,41.05057984251078,43.7825757641289,46.24791544023116,47.65317576319658
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-2.7805983232766542,1.7533187297687518,14.416965897277672,21.522604510539885,26.173084860886036,29.541646328203196,32.07690351395924,33.932399077726124,35.52266295100029
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,-1.5857687693157423,7.915936565007321,22.567300394224628,30.568337912549637,35.3589351307281,39.352852313647034,41.66558780684874,43.79563039462274,45.61251052194644
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,-1.3038765391534632,21.81045330706671,39.76396263648249,48.97924072864861,55.16350891687119,59.816738666345984,62.651512031296264,65.1049256097082,67.20557942058029
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,0.8604752475087777,11.606692324935882,27.16469436226379,35.237354146656976,40.576155494022565,44.44933973950905,47.359691496288896,49.5917708929258,51.363381825247615
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,3.559951341319599,16.30802847743554,33.15909477366825,42.189090589652,47.902960773899686,52.412870360229356,55.06566496964462,57.51198701652312,59.42726106536521
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,2.9595718937305984,20.323203204691158,37.348555065601765,46.94957497238624,52.85222833061341,56.67459193937865,59.73969941246331,62.298111912663856,64.17395633095529
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,-2.9512850935853443,3.8614258891584194,16.779260709058338,24.15960916998482,28.68574585373241,32.06856460141063,34.57483542503649,36.86788711838408,38.11487731347793
16,/content/dataset/DATASET-3/DATASET-3/curva_1566.npy,1.2311259248759805,-2.180402405842126,9.565650166259317,24.059275245763747,32.34500059319928,37.552786852362196,41.34927668037399,44.087759108688815,46.33543113408971,48.04724919702977
17,/content/dataset/DATASET-4/DATASET-4/curva_1658.npy,1.379487414387714,1.1133253705635833,-1.3650161052681071,11.394454459587552,18.681460414272355,22.98403811030678,26.30611170148877,28.80541734165894,30.660401382572193,32.17482549626497
