Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,-14.083085333279415,-10.696075185795747,-6.764024987201333,-5.554160203061376,-10.38237240350534,-5.070587594401861,-2.2910912152411806,-1.206081092026015,-6.8086135165338515,-4.31511495480302,-4.434386912943588,-3.70736841105061,-5.730539841294319
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,-12.99413989957532,-9.953722992721946,-7.32424453678023,-5.594745804606118,-5.168124052748654,-4.018154002687889,-3.2719110175746415,-1.3376216289473664,-4.234829906527983,-4.484287906260962,0.7662466393873177,-3.1953528645837475,-0.5927045972360331
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-3.2732799968070223,-1.5236939624429207,-4.43361973781389,-0.277394595410204,-0.6695093106924939,-1.8667858838417317,-6.239730361666206,-0.16944023985424095,-1.5768759769327616,4.7132314077390705,-4.841815456154057,0.3628148200590038,4.898074608916239
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-8.450089939236108,-3.6918655484354885,-1.7397591093527094,-4.8336852147530065,-5.429411282506205,0.27975750255045684,5.24702219071922,-2.188375694341445,-0.24069658589752663,6.305228985557479,3.8244145926494473,2.9055298809879275,-3.342625134422169
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,-3.84264849807631,-4.4091232431217815,-2.5499246772786033,-0.5890305096725079,-4.181305427031733,4.061796742051033,-2.096744523092232,2.286436325051714,0.06512185688894032,-1.2037956045012395,-0.8801910731367402,4.95601130419486,2.3491179440166126
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,-9.319677210042517,-6.438719824785554,-7.906124702931293,-5.348979753136892,-3.1390271157417002,-2.8406381679001638,4.162300336939955,-0.2734177524298725,-1.7646902250224954,-1.005144232762904,-2.769413687940701,-0.9949438525163059,-0.7001893794734386
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,0.34446611498785173,4.165408247361975,0.587644675708674,1.2374140623337975,2.348779338884059,5.030838347535164,2.301738296366942,-0.45197425082531784,-2.7744212549320886,-3.6189486288135764,-2.975836877775641,-4.558102122925914,-0.3165518219696863
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,1.9890992906683156,-3.956617047911979,-2.029957073249954,-0.35053020643198646,2.4413967476184757,1.2027734295577133,-4.157792065091651,1.583889446456267,1.2636705016790137,1.26990035339658,1.1607287825596784,-2.8375845736088845,-6.374253818210447
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,-5.153661797330676,-5.001193595629519,-7.714299230557084,-6.47977855672358,-1.076166181871538,2.8756552483477487,1.594273062763929,2.5570149068212986,1.4181367136920195,1.150119397348144,0.6130931922369308,4.302927278475824,2.338875031638316
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-14.81577278802842,-11.064748605290688,-8.061536920329166,-7.44439798209162,-7.362985253601549,-4.652946239646023,-2.773641498737047,-3.789676557648126,1.212461944809299,-2.602007692191936,3.4146203986482875,-3.0227629450411353,-2.7805983232766542
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,-6.667711765908431,-4.871172233732239,-5.613346249771551,-6.115451314277479,-1.1992950514796223,-4.0661072150132815,-0.014005142504905126,2.357759414145349,-2.5023929743118307,1.2991728009769326,0.32056225669090466,0.8831026837607043,-1.5857687693157423
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,0.8446265462620249,-1.7686316388829812,-5.389011215973808,-3.124713078591629,-2.1978257035288005,-0.939181220515003,1.987432763630496,-3.6597708513449287,2.2288250085307024,1.1953774310174659,3.343683124363048,2.4987998038649066,-1.3038765391534632
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,-9.678054074950571,-6.8272430732557785,-2.984397760430436,-2.682169286080009,-3.279899290061341,-3.8532690167850117,-0.9099785090793973,-4.316733341267822,-3.286070908180558,-5.103221928206134,-2.21386819932244,-0.214383400347337,0.8604752475087777
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,-1.4516514248396355,-1.9416222708365567,-2.424660137461331,1.0891497725456627,-0.4717588041115385,-1.3224030219402938,4.845266784433415,3.3599259087304927,-0.9755379881352878,4.293397053936234,-1.1111349715809182,0.8340796873136398,3.559951341319599
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,-2.0283513440987067,2.044905539926767,0.5035083209446154,-2.7094839416061856,-4.642588975539856,3.2889527611640808,-2.4391219719795654,0.33288106321089955,3.241325500876055,3.922840042495874,1.1123266594710584,1.3659752507034173,2.9595718937305984
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,-13.697521369971078,-7.586418276341315,-6.696130592498443,-5.34255967951502,-7.060519805119592,-5.778456319134157,-3.7237794904000316,-4.558157933363786,-0.9602687269953003,-1.8294753397741008,-0.08942622092410543,-0.6227142216660018,-2.9512850935853443
16,/content/dataset/DATASET-3/DATASET-3/curva_1566.npy,1.2311259248759805,-10.571365126440563,1.3782024692165238,-2.8831912517169513,-4.722812872272994,4.002246227021295,-3.283470509665068,-4.075532019595447,-0.9256195107426648,2.228539905417901,-2.1213323068410306,-0.14174183759583298,0.048130241524488755,-2.180402405842126
17,/content/dataset/DATASET-4/DATASET-4/curva_1658.npy,1.379487414387714,-17.20516065773348,-13.893890208308889,-7.490617772883505,-7.6113291712921916,-6.5957238367238435,-7.825274501557035,-5.9945895110152065,-0.7494188612147776,-0.9560981791705805,-0.7466590271463859,-5.727606616124804,-2.6649851081454146,1.1133253705635833
18,/content/dataset/DATASET-3/DATASET-3/curva_488.npy,1.172016791755917,-2.8482231715874895,-3.826596962815639,2.093088644828628,-0.20519224969904473,0.4533040604786908,0.13883157042631483,0.7287394865311574,-0.10731512240292178,0.6553259742053793,-0.5799456724745979,-1.0087084386687815,-4.8562926798055255,7.699326501721365
19,/content/dataset/DATASET-1/DATASET-1/curva_1249.npy,1.2902919137270212,-11.94151470369726,-5.10199484142054,-6.046930727134787,-2.92851856228787,-3.209433470426849,-1.240257955060279,-3.343991767097898,-1.2884617474459321,-2.551058009730812,-1.0592516282898468,-4.327460097559463,-1.8800331383920417,0.753215522189765
20,/content/dataset/DATASET-7/DATASET-7/curva_1242.npy,1.3821009319981872,-16.935672070150815,-8.605909536386733,-7.588841062701186,-8.1736757539855,-7.988140731270854,-3.1486745420302866,-6.089130937045857,-3.354643040612941,-5.071832859919166,-3.3168863117453444,-4.846626914165457,-4.24617594505148,-4.622693713275681
21,/content/dataset/DATASET-3/DATASET-3/curva_1530.npy,1.1950983571242249,-5.469107241991098,0.28713034020892547,-5.619812369233643,-5.278764681892577,-4.18330507734994,0.4933476888794695,-2.9553511121540286,1.7877475260265916,-2.904048502106601,-0.7050337181025801,2.2746580895916515,1.5029846136636806,-2.9101152329076356
22,/content/dataset/DATASET-2/DATASET-2/curva_333.npy,1.3742541840921731,-13.237735066637416,-10.944878247112758,-6.954980556464202,-7.541471243282527,-12.307935078770505,-8.567571305004869,-3.7443839197312005,-3.191642815549653,-1.7557725909106665,-1.8383998019399,-0.3580757191248832,-1.8619477086536316,-1.6990375439605707
23,/content/dataset/DATASET-3/DATASET-3/curva_1725.npy,1.1499443664375524,-2.974670195161954,-3.3156418971348094,-5.051554571575634,-0.9091536311549578,-2.3413688801941803,-1.2809001055184577,-4.001109239858464,0.641840494207015,-1.7222580435196595,1.4071529333711674,-1.2145677175757768,4.286676770144773,0.7773313714444924
24,/content/dataset/DATASET-2/DATASET-2/curva_2559.npy,1.1363457214746366,-4.112431938583698,-0.03432598771485841,-1.804980435550482,0.5599423554315448,1.1687301303433297,5.3105944047310745,0.45249113442880584,0.35472330816154757,-0.9787938021463599,-0.3892669460740513,-1.095315812554315,-2.8464622073000214,-1.4218122029187539
25,/content/dataset/DATASET-5/DATASET-5/curva_588.npy,1.328154263529255,-10.010227644105923,-10.548857924404121,-6.969955605773821,-7.218078771089319,-12.186778676846929,-8.199754276794335,-3.9325480538434556,-2.2514871629364688,-2.5396000708044872,2.4427557918511043,2.1781763294703627,-2.1587168032479815,0.8116445324829419
26,/content/dataset/DATASET-7/DATASET-7/curva_2775.npy,1.1131250014796423,-1.903464679344478,-1.3099813760768928,-1.8855675733398276,0.9703515037903214,2.672145507656918,-4.583534170102037,-0.33971415073555866,-1.029206710127049,0.7332127925478273,-1.4968118618659174,1.3994231210320711,2.1799121728100563,-0.06672614464451464
27,/content/dataset/DATASET-6/DATASET-6/curva_326.npy,1.197844023904603,-6.339281214878391,-6.494854358089625,-4.021674716576896,-3.151350469414507,-2.0624460663793958,-3.8319494853869784,0.49597956553144645,-1.1565214595665698,1.8404853754799044,-3.193177889195547,-0.7151670800871729,-3.0342793019285756,4.910341107581569
