Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,-21.838546611612458,-20.677766478445353,-19.293519964327796,-18.457317107089985,-20.17859137488914,-10.237569922835888,-6.15191225304964,-3.3155153124515344,-2.79675682332481,-1.1932140676415188,0.1628433317851189,1.397410099609466,0.2662319620336427
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,-22.293540744755763,-18.037794647235756,-17.573692869908335,-16.6568751117263,-15.83102185900363,-13.216623629465168,-7.657395340030586,-3.989584613585842,-2.057411470255262,-0.3347613552889817,-0.28049602255848527,0.7870529678277974,2.1829794705537093
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-1.4068878633516353,-0.36350648803451086,-1.2931273858221841,0.043861424715844304,-0.5208174488205364,-0.3400223033923582,0.16972783404674327,0.5206013983903425,-0.7616571339487912,-0.9040396506007908,0.11335476546677774,-0.15470672805653574,-0.0012767217278049966
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,-6.824955610993714,-6.6854854938019,-5.799068959660324,-5.300267708813778,-3.8245323444192145,-3.062188393329247,-1.644868202256355,-0.31215144337971806,0.7242769159634088,-0.057843113341675835,0.5150406130851077,-0.7560030036558246,0.23091253027149086
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,-6.479029257329144,-5.25855398815615,-5.011780498585132,-4.858835376491206,-3.396833359589287,-2.6742479172612863,-0.7040496024107,-1.396411733810691,0.2416937964050017,-0.9421997341026356,0.00961118399184152,0.14550699249592136,0.8526846761074427
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,-17.510827496147567,-16.706525842923707,-14.807935244441664,-14.171842816038666,-14.431435197207243,-9.263073730480924,-6.584407214853778,-2.76695071829734,-0.6159651092315457,0.17280537588820877,1.0665600635235022,1.7116717533109966,2.210076137418272
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-1.8760550483286447,-1.4038545719103865,-1.4972104205518406,-0.3851052778946131,0.2204685992551845,0.2027776770013702,0.38496430411429094,0.4896604875338312,-0.41353909289918017,-0.007322769277512726,-0.47997685908689436,-0.42944875281224143,-0.12429970548112669
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,1.9988686924123964,0.9374542228932992,1.572153233830648,1.6337151568643355,1.4504470084899832,1.7266971327260885,1.3660869554087127,1.4601844361045981,1.1857121476978918,1.2727331446022492,0.658043501627152,0.8870938275690256,1.3992035051720215
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,-13.255444097421579,-11.880731623885485,-10.874612810320627,-11.66285696349819,-8.385201301311417,-5.2626271507354785,-5.11646369468404,-2.2060311687786407,-0.7046514212581892,-0.5787755764468537,0.7258085510994272,-0.15771595324954332,0.41774957128895285
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-18.778183972833386,-16.068305712105854,-16.388613496142007,-16.03421986163652,-11.724485713885503,-5.600512687151847,-6.162167425940458,-4.123713098132513,-2.5197824992545836,-0.9781772756111221,-1.0605041712093521,-0.11665917661256003,-0.4624959162237166
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,-13.756663882094042,-13.066203284079744,-9.843228789888094,-13.155954594131844,-9.437710513944166,-7.1125537492427195,-2.842721802377194,-1.7396222262637973,-0.696553596394412,0.42067314816587886,-0.20562497320956025,0.7530804715005434,0.19842727582006636
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,-1.6108168705078265,-1.9676602802125414,-1.9805942261286729,-1.0747474877402343,-0.6278150960325481,0.11153170914111835,0.45056085154341097,0.4248242688067428,-0.6437691511473705,0.24668159578252546,-0.3914368391118392,-0.748203651844123,-0.5478040871165114
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,-11.800375379254119,-9.115326761895675,-9.35511097896887,-8.205334767820533,-5.9320972278104245,-3.9208006793495565,-2.9184194898273863,-1.5034748034483114,-1.4942477642116385,0.26827513409996173,0.9336515858363518,0.2825117032226395,0.6824622730543067
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,-6.650317414414866,-5.782728863974649,-5.394275994279603,-5.897735612840381,-3.2046000656216074,-1.6744449723327595,-1.659216434935338,-0.1830913578921355,-0.24563266627223046,-0.4585609967043951,1.0938736554069821,0.5778765697559982,-0.0528560716289824
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,-5.339306076004377,-3.360183146985005,-3.1713800757859243,-3.209308304862452,-2.1902853094383645,-1.4770304565241472,0.930982308202812,0.24061332722429074,-0.609602187457209,0.07897245520522743,0.10716613030347405,0.07604994010357992,0.3802923578177382
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,-17.891560738131794,-15.659880316051197,-15.193904822740498,-15.181264526467778,-15.01450290349842,-10.95084628504668,-5.279055059647531,-5.307459611128938,-1.0867202251395207,-2.7855399290606306,-0.6121854454955776,0.5175861777938657,0.5319961155447644
16,/content/dataset/DATASET-3/DATASET-3/curva_1566.npy,1.2311259248759805,-13.382171654260103,-11.590264566615046,-10.664748980953846,-8.643104256668023,-6.5313887452275,-8.486995760591045,-3.359196711621565,-2.182757197952747,-1.3750249981171525,-1.5568514054694362,0.15466784354325178,-0.21080536548351336,-0.2119092216150588
17,/content/dataset/DATASET-4/DATASET-4/curva_1658.npy,1.379487414387714,-21.11741756872539,-20.00882587301215,-18.78296815208315,-17.24663631516655,-15.427051289265266,-10.757426564594038,-4.948048663964316,-2.4842695985837513,-2.7532987730138894,-2.3244870778586697,-0.644895390829553,0.6698148924626323,0.5476404588222209
18,/content/dataset/DATASET-3/DATASET-3/curva_488.npy,1.172016791755917,-9.208128974476896,-8.632331944183566,-7.548763506960303,-5.9155789536987,-5.188402534572026,-3.3573354300940874,-2.6490064212683064,-1.0666986873942188,-0.6894046573341451,-0.5075825814902384,-0.8581261047551971,0.710124898932256,0.43971084050832987
19,/content/dataset/DATASET-1/DATASET-1/curva_1249.npy,1.2902919137270212,-15.85578550022687,-13.79175097764703,-13.91556200616503,-12.865288600382044,-12.83454140965688,-7.977353735396115,-3.6877880274131596,-1.2646174477814753,-0.7990118516921415,0.3478546667806218,0.7189828673304383,0.8095799082712274,1.133127570289016
20,/content/dataset/DATASET-7/DATASET-7/curva_1242.npy,1.3821009319981872,-21.492692745011713,-19.823962196850164,-19.6714165002094,-16.74551655173832,-14.520553987820456,-9.181299351377032,-5.401485060554435,-4.635237486305191,-3.217233549907205,-1.528932370417043,-1.0088659153310164,-0.23897849691223694,0.20385771008369602
21,/content/dataset/DATASET-3/DATASET-3/curva_1530.npy,1.1950983571242249,-9.915477848432484,-8.050699260955692,-7.353696519131613,-6.328700701621182,-4.784194654565817,-4.126792074242704,-1.9277562041721048,0.12101849893361431,0.4279845871025745,1.17502118537221,0.8030589631124931,0.5062871734457972,0.08052060077393479
