Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8,Errore_9,Errore_10,Errore_11,Errore_12,Errore_13,Errore_14,Errore_15,Errore_16,Errore_17
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,-0.1661945610080544,-0.11046649895406718,0.6027841538188983,0.06574232042060037,-0.8245739207029223,0.19003093985634642,-0.3897922244047152,-0.4847793448650303,0.8415656673993837,-1.2405352584974172,0.46323552695702624,-1.1892147968416187,-0.9487673435857917,-0.22294122617782172,-1.3947917527787308,-3.8228655107951175,-6.281145135039264,-12.359759184837458
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,-0.6962599621115702,-0.9430335224335694,-0.8213865877892069,-1.1327204534455353,-0.4990008732536116,-1.0846503820330424,-0.500499985428324,-0.7632057160158798,-1.2466420362990445,-0.7190420901973453,-0.8280724092399314,-2.3237486626175827,-2.5542398950857716,-2.689827478712496,-2.1983813035980218,-3.859178744686695,-3.5055961775225954,-3.845347519950662
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,1.475651038680662,1.6310949689971876,1.0574839965362501,1.6585186800332223,0.5965676459970379,1.70884168479718,0.5721536129952831,0.7073119173504967,1.8982533958229595,1.9619417471207248,0.3379531406962109,-0.7524710315853289,-1.5519068591841527,-1.8619630982551008,-0.5185081654468577,-7.042381315015533,-8.768778176659087,-9.710421291377621
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,-0.18996506073110855,-0.30121682777281855,-0.3029691526240287,-0.6558748610516694,-0.2419298369735424,-0.3294000524631148,-0.28629077502233224,-0.4061372782390253,-1.282372717379559,-2.0588925280821826,-1.6505173937096878,-0.11560599011041191,-0.2193477935040785,-2.869728700454338,-3.6522356210652624,-5.600382774398128,-6.649211780877792,-7.827921436448341
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,0.7266211419037837,0.32930951165112987,0.8819119903012527,1.3727978265107013,-0.17239607715890354,0.7547181161346963,0.5732428217713634,0.8550936164273106,1.0952233590990765,0.20234127284168615,1.031390042117871,-1.14661433738494,-0.9543945022067265,-0.42244303100280417,-2.4066051496643546,-2.5064004447529658,-3.5015168368639444,-4.659960993901923
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,0.6519886423050674,0.5334948935313867,0.30324286814077384,0.8765435055899051,1.0695337433251553,1.2564566388495009,0.8812565303430185,1.3968361577410877,0.18167933312943313,1.2736203554312415,1.4868440959858926,-1.6092700730536886,-0.716973501596411,-3.3221927361019308,-3.193631894225336,-4.2717859648068295,-6.335169870799234,-13.274809898701168
16,/content/dataset/DATASET-3/DATASET-3/curva_1566.npy,1.2311259248759805,-0.47183829174844377,-0.15000613171181298,-0.7818766204848785,-1.046627798982383,-0.14242438301882981,-0.8089404616047865,0.03446372058706637,-0.7213000945291916,-0.8569485203784909,0.3292514054008338,-1.0157682420417222,-0.566537528296816,-1.6733179102960027,-2.4413500211900514,-3.199815378944039,-5.860960755438523,-8.894570429792893,-11.100762469965774
17,/content/dataset/DATASET-4/DATASET-4/curva_1658.npy,1.379487414387714,-0.0658414617464656,-0.043563509424710004,-0.05770110833797306,-0.3819930853661043,-0.9215464248205087,-0.9975662644537454,-0.5332031744762982,-1.437793465821936,-0.953511570529653,-2.977849816877667,-1.7394186201425557,-2.78796872829507,-4.291272507114793,-4.6336512778626435,-5.095845335243985,-8.58328680408868,-11.451741676015207,-15.667139865431029
18,/content/dataset/DATASET-3/DATASET-3/curva_488.npy,1.172016791755917,0.8789684018976204,0.9813730035756496,1.4842215035516544,1.115654444909911,0.7483282843020096,0.268131259091298,0.2516334180184172,-0.37590499176797304,0.056639514684140226,-0.10386352608654942,1.8826514853684764,-0.19868034142649674,0.9533714274513336,-1.554758123917715,-1.5246714322447303,-5.429370692930607,-6.639988780487628,-8.961078381493419
19,/content/dataset/DATASET-1/DATASET-1/curva_1249.npy,1.2902919137270212,0.8345342839168598,0.708348847942018,0.7792669477035413,0.1358579605367561,1.628953737550828,0.7153796809173332,1.0228700660480026,-0.4374182367277723,0.8975623293276351,0.6956545450404634,-1.8360828128999307,0.8622788192977684,-0.4038993641463749,-2.096029615256655,-3.1668319446548194,-4.802789443478745,-4.607626085041745,-13.73767546463189
20,/content/dataset/DATASET-7/DATASET-7/curva_1242.npy,1.3821009319981872,0.7762447688010055,0.9093319620141106,0.18195826850443003,0.4057051822530471,-0.044609093214419394,0.14279113017774756,1.23565002946916,-0.5468472120482432,-0.8059661659372974,-0.5209801678197207,-1.3545131078664654,0.013110900109112677,-0.6489784793739968,-4.288434513867568,-5.258556487726543,-9.560748793439515,-8.80622289745188,-16.53071399439683
