Indice,Percorso_Coordinate,Dimensione_Frattale,Errore_0,Errore_1,Errore_2,Errore_3,Errore_4,Errore_5,Errore_6,Errore_7,Errore_8
0,/content/dataset/DATASET-1/DATASET-1/curva_2177.npy,1.3921578790397833,0.2662319620336427,1.312740000562141,2.2649532240917374,3.667164732930297,5.899722065456064,7.5633251037766875,8.682138392745681,10.157836834232313,12.19038160875369
1,/content/dataset/DATASET-7/DATASET-7/curva_121.npy,1.369476005519687,2.1829794705537093,3.4713850573529146,4.054393547079852,5.947308324896391,7.342451401259495,8.757336821965358,10.877514882895115,12.040903031664902,12.042678798087266
2,/content/dataset/DATASET-4/DATASET-4/curva_584.npy,1.0812203643102043,-0.0012767217278049966,0.8249035092464052,1.2667920708768448,1.8710853460185095,2.50593011207257,3.1862217368566563,3.489421303832806,4.339394431735545,4.585129411690614
3,/content/dataset/DATASET-3/DATASET-3/curva_121.npy,1.1489280301799671,0.23091253027149086,1.0680652557218948,1.5076627802854106,2.128918005473408,3.0036100021632097,1.4980133822056318,2.1011111378886693,1.7030371521587822,2.973977011931115
4,/content/dataset/DATASET-2/DATASET-2/curva_1482.npy,1.1473919059669946,0.8526846761074427,2.261658236846914,2.4558188537677275,2.7044209107926225,3.10755769684578,2.8105193814687435,2.7916103316616003,2.2914555746748726,2.9652203439019047
5,/content/dataset/DATASET-2/DATASET-2/curva_2589.npy,1.3217189797347966,2.210076137418272,3.2230113449883016,4.10127094156503,6.120954143395325,7.541217233611984,8.59437834695687,10.08300743846801,11.517881732127554,12.022256867271366
6,/content/dataset/DATASET-5/DATASET-5/curva_2980.npy,1.0774772013403704,-0.12429970548112669,0.18914714778517305,0.8947483095483134,1.9767379485314434,2.10116078259423,3.615167389786829,3.24838223996916,4.047018401877594,4.897034578136694
7,/content/dataset/DATASET-3/DATASET-3/curva_2028.npy,1.02591144804628,1.3992035051720215,1.7890259653332419,2.8650465762742616,3.5623765357113415,4.369025968893406,5.2605467282057194,5.960526011623864,6.0283161699814585,6.195525696681111
8,/content/dataset/DATASET-5/DATASET-5/curva_1010.npy,1.2351278012485531,0.41128301585086097,1.5204034408117129,2.597712273647265,4.110789730407967,5.314186742711029,5.219195938798044,5.866758730683625,6.600741727632899,6.974412116201805
9,/content/dataset/DATASET-7/DATASET-7/curva_1445.npy,1.3457705759875431,-0.4624959162237166,0.7776337786065155,1.8600012601158444,3.571645981059028,4.3474356858678265,6.1964336285827075,6.403677016727337,7.574749203694023,8.596598356095637
10,/content/dataset/DATASET-5/DATASET-5/curva_723.npy,1.2522437624947762,0.1979132144345325,1.2636767025097095,2.1904722626955624,3.4166229030573083,4.348159251576418,4.758913337928561,4.891960040228958,4.658538092575427,6.226977458460435
11,/content/dataset/DATASET-3/DATASET-3/curva_1076.npy,1.0894229894164045,-0.5478040871165114,0.010916114641260976,0.5069033959784045,1.0671008250616236,2.782205519603564,2.8461858764323478,4.25465100548549,3.5591286109667366,3.6836534032895623
12,/content/dataset/DATASET-4/DATASET-4/curva_836.npy,1.2041030173552103,0.6824622730543067,1.6059384167435549,2.5335726682433206,3.384262124735123,2.268760602253484,2.3428145223074686,3.6785769556662533,2.0943774808857185,3.3622439538527615
13,/content/dataset/DATASET-3/DATASET-3/curva_1136.npy,1.1428908647104303,-0.0528560716289824,0.6804292955720579,1.0632288315209382,1.346291878021775,1.3594968974362514,2.0320767251489404,1.1746474866437158,0.4599284184614495,1.4533297210165272
14,/content/dataset/DATASET-4/DATASET-4/curva_1867.npy,1.1094870558421932,0.3802923578177382,1.3162063300387252,2.2690322095023343,2.8061088266749548,2.7627653490277266,3.0196028526666314,3.831976094598122,3.9305680011154664,3.917201792341755
15,/content/dataset/DATASET-7/DATASET-7/curva_1038.npy,1.3203251076582991,0.5319961155447644,1.681847752341726,3.0502681692600877,4.472409845337501,5.070711183057459,8.083832778283593,8.251316703897109,8.984580290677489,11.878196913428125
16,/content/dataset/DATASET-3/DATASET-3/curva_1566.npy,1.2311259248759805,-0.2119092216150588,1.2387126624120113,1.6308914434633583,1.965960194130012,1.9031953218082793,1.242179157983005,0.8470373946838256,0.9915263525340107,2.0851379245428308
17,/content/dataset/DATASET-4/DATASET-4/curva_1658.npy,1.379487414387714,0.5476404588222209,1.3317759877889017,2.3544878191989604,3.655786394964627,5.40660185353599,6.168044635102776,7.366370332720249,8.041501171777456,8.806849940330059
18,/content/dataset/DATASET-3/DATASET-3/curva_488.npy,1.172016791755917,0.43928364610323684,1.3710760139741416,2.000028233815483,3.4234603341763785,2.5118885014798797,2.914264945896133,2.1802635875833296,1.8140359268742388,2.6288787407032306
19,/content/dataset/DATASET-1/DATASET-1/curva_1249.npy,1.2902919137270212,1.133127570289016,2.2000772619070146,3.624296744793656,4.650761403431587,5.563106681108818,6.551285174372628,7.171495184402729,6.949261733169837,6.377020297131636
20,/content/dataset/DATASET-7/DATASET-7/curva_1242.npy,1.3821009319981872,0.20385771008369602,0.8445392857071213,2.0053908190943797,3.559362773237757,4.933447073353102,6.228334574500027,7.162774000185148,8.48719426539958,8.660699254296201
21,/content/dataset/DATASET-3/DATASET-3/curva_1530.npy,1.1950983571242249,0.07970266292933041,1.1537548014124965,2.393768523536241,3.3873236082882214,2.8582774204574126,2.6284568358271128,2.3641033143916874,3.833319180336397,2.5089581117007675
22,/content/dataset/DATASET-2/DATASET-2/curva_333.npy,1.3742541840921731,1.375357927815843,2.539489371727891,3.883806940682345,5.162389363499146,6.955211814467492,7.730883069103156,9.73518913881471,11.376590012720653,12.684145170836974
23,/content/dataset/DATASET-3/DATASET-3/curva_1725.npy,1.1499443664375524,0.1309239258295564,1.0375181500937238,1.357968222822861,1.8924456053852587,1.6529788390795177,2.3071481386880666,1.3063221869035881,2.268232197531714,2.3297471668502534
24,/content/dataset/DATASET-2/DATASET-2/curva_2559.npy,1.1363457214746366,-0.8600054987704423,-0.34445629442432857,0.39590610073118626,1.697283886372243,1.6018615446269182,1.389364298101709,1.6913462164703241,1.7192721480585007,2.697791755428436
25,/content/dataset/DATASET-5/DATASET-5/curva_588.npy,1.328154263529255,1.112902363214788,2.34975255221506,3.212573183763195,4.565405565636295,7.132164554974518,7.588553855639862,8.216484068717024,10.030157629266993,11.214195620243451
26,/content/dataset/DATASET-7/DATASET-7/curva_2775.npy,1.1131250014796423,-1.1007499831424314,0.39725228725213824,1.2617706374998676,1.607856422654474,2.8455018567173926,2.971359021810131,2.924066200073445,2.4930975106876403,2.307717360265984
27,/content/dataset/DATASET-6/DATASET-6/curva_326.npy,1.197844023904603,-0.322344499216704,0.322743341476738,1.645302790737989,2.541718128020017,1.4664456683538087,2.2258818473620865,2.629892738765835,2.020433013926798,2.8228418756890754
28,/content/dataset/DATASET-6/DATASET-6/curva_507.npy,1.371866028220346,-0.4732544313071932,0.4276456601907864,1.8199236826856,3.1868455333856773,5.430944943370015,6.3652303714119896,7.209231143886003,7.733820619982043,7.892805033675154
29,/content/dataset/DATASET-3/DATASET-3/curva_2934.npy,1.368826964405667,0.04000134674943334,1.0115623028166205,2.1407188761390232,3.085282351354577,5.507026054664467,6.13436042100853,6.717593096051731,7.421600308014437,7.432294793977599
30,/content/dataset/DATASET-1/DATASET-1/curva_1195.npy,1.196548345399802,-0.18460028210372717,0.36572288381948936,1.7987469531207605,1.8050234945330423,2.970866154954035,2.088045698406223,2.929321428463217,2.3977681101919677,2.1986722314887275
31,/content/dataset/DATASET-1/DATASET-1/curva_1142.npy,1.2129023334269429,0.058457380956457826,1.0324157477399747,2.2225210064495338,2.368866369344167,2.1030465785551646,2.560127669675232,2.6590410163623774,3.000677336994845,1.98646170987443
32,/content/dataset/DATASET-1/DATASET-1/curva_1985.npy,1.2246887806130755,-0.3833781593174524,0.6037893154290664,2.055124852421804,2.0470846976716595,2.171288541027398,1.944314777753957,2.3234479829817007,1.5556813412475918,2.714690089552277
33,/content/dataset/DATASET-3/DATASET-3/curva_1837.npy,1.159302420020604,-0.5561329000172768,0.3819917615445945,1.1131638523133864,0.8475784901726899,1.9904551933539492,1.2330618437397656,2.0105890070085675,0.9748389997689909,2.04783347741563
34,/content/dataset/DATASET-5/DATASET-5/curva_1605.npy,1.204668040678087,0.08888276010051335,1.1554517411394758,1.3135242662653444,2.315118651086925,3.363618242437654,0.45727664800497314,1.2260470456498018,1.1887603751430862,2.6776939184346045
35,/content/dataset/DATASET-5/DATASET-5/curva_2354.npy,1.2005919083502976,-0.12068842446580424,0.8884171685989647,1.8115159462831667,0.9278559899671952,1.6287191936675767,0.764282187545184,1.1542618320715232,1.2446772166080557,1.9114633722380026
36,/content/dataset/DATASET-7/DATASET-7/curva_2430.npy,1.2242250876622138,-0.6706467368141622,0.4211251668279112,1.6382190861663233,1.8306132109626136,2.334179855851538,2.026941298023187,2.3610943897586614,2.0075636126124863,2.7106522545191245
37,/content/dataset/DATASET-5/DATASET-5/curva_2116.npy,1.2738033622392386,0.9860796928977495,1.9036649943942126,2.987738572180065,4.076023489163794,4.152969335574776,4.568057643980599,5.194517745993625,3.9616622336125666,5.9440051037739545
38,/content/dataset/DATASET-2/DATASET-2/curva_2792.npy,1.3815625764280328,1.5719306011942478,2.227806539927451,3.3151979722149276,4.840938736706849,5.947451111480154,9.407599643177802,11.013862354997228,11.783721890408135,13.979247871289916
39,/content/dataset/DATASET-4/DATASET-4/curva_1425.npy,1.3588271835058632,0.6593701473414401,1.4901513856703517,3.2295475140046,4.848315518967473,6.431553058500958,7.2880565992098605,8.655725102562878,9.953999536398253,10.186430190987434
